iter	Passed	Remaining
0	10	89917
1	17	70179
2	21	57531
3	24	49299
4	26	43296
5	28	39060
6	32	37747
7	34	35299
8	36	33301
9	38	31893
10	41	30649
11	43	29641
12	45	28788
13	48	28084
14	50	27799
15	53	27152
16	55	26569
17	58	26402
18	60	25988
19	62	25564
20	65	25501
21	69	25676
22	74	26411
23	76	26191
24	79	26060
25	82	25792
26	84	25476
27	87	25393
28	89	25137
29	91	24910
30	94	24997
31	97	24780
32	99	24580
33	102	24611
34	104	24420
35	106	24236
36	110	24388
37	113	24249
38	113	23824
39	118	24241
40	121	24085
41	124	24198
42	129	24543
43	134	24932
44	139	25182
45	141	25023
46	143	24878
47	145	24732
48	148	24731
49	150	24588
50	153	24452
51	156	24462
52	159	24488
53	162	24440
54	165	24421
55	169	24631
56	171	24530
57	176	24817
58	179	24728
59	181	24646
60	184	24543
61	186	24437
62	189	24474
63	191	24382
64	194	24290
65	197	24300
66	199	24213
67	201	24107
68	205	24171
69	207	24085
70	209	23985
71	213	24066
72	215	23973
73	217	23899
74	221	23919
75	223	23887
76	228	24104
77	231	24062
78	234	24053
79	236	23975
80	238	23885
81	241	23919
82	244	23875
83	246	23802
84	248	23739
85	252	23779
86	258	24128
87	262	24163
88	266	24301
89	270	24350
90	272	24296
91	275	24228
92	277	24169
93	281	24279
94	284	24252
95	288	24369
96	291	24329
97	293	24275
98	296	24202
99	298	24141
100	301	24145
101	303	24089
102	306	24041
103	308	24018
104	311	23958
105	314	23953
106	316	23909
107	318	23843
108	321	23825
109	323	23762
110	325	23697
111	327	23651
112	330	23602
113	333	23601
114	335	23569
115	339	23633
116	341	23591
117	345	23606
118	347	23559
119	349	23504
120	352	23545
121	355	23503
122	357	23450
123	359	23420
124	362	23369
125	365	23408
126	367	23365
127	370	23313
128	372	23281
129	374	23232
130	377	23223
131	379	23185
132	381	23138
133	384	23130
134	387	23108
135	389	23083
136	391	23043
137	394	23008
138	396	22968
139	400	23017
140	402	22983
141	404	22948
142	407	22916
143	409	22886
144	412	22919
145	415	22885
146	417	22851
147	419	22823
148	422	22788
149	425	22815
150	427	22782
151	431	22812
152	433	22801
153	436	22789
154	438	22761
155	441	22719
156	443	22692
157	445	22658
158	448	22680
159	451	22649
160	453	22646
161	456	22617
162	458	22591
163	461	22567
164	463	22531
165	466	22539
166	468	22533
167	472	22584
168	475	22571
169	477	22549
170	480	22521
171	482	22491
172	484	22466
173	487	22441
174	490	22471
175	492	22444
176	494	22414
177	497	22386
178	499	22361
179	501	22336
180	504	22310
181	507	22346
182	509	22318
183	512	22287
184	515	22327
185	518	22331
186	521	22328
187	523	22299
188	526	22280
189	528	22249
190	530	22231
191	532	22206
192	536	22237
193	538	22217
194	541	22188
195	543	22171
196	545	22145
197	548	22126
198	550	22102
199	553	22137
200	556	22113
201	558	22086
202	560	22075
203	563	22052
204	565	22031
205	567	22011
206	570	21990
207	572	21985
208	575	21984
209	577	21967
210	580	21955
211	582	21930
212	584	21912
213	587	21890
214	589	21887
215	592	21867
216	593	21813
217	595	21799
218	598	21779
219	600	21776
220	603	21771
221	606	21756
222	608	21740
223	610	21722
224	612	21699
225	615	21687
226	617	21668
227	619	21653
228	622	21637
229	624	21634
230	627	21615
231	630	21630
232	632	21619
233	635	21603
234	637	21584
235	639	21574
236	642	21571
237	647	21634
238	649	21619
239	654	21677
240	657	21676
241	659	21660
242	661	21646
243	664	21632
244	666	21609
245	668	21592
246	670	21573
247	673	21560
248	675	21539
249	677	21526
250	680	21515
251	682	21512
252	685	21509
253	687	21495
254	690	21477
255	692	21461
256	694	21444
257	696	21429
258	699	21410
259	701	21397
260	703	21381
261	706	21368
262	708	21354
263	710	21338
264	713	21335
265	715	21321
266	717	21302
267	718	21250
268	723	21307
269	725	21297
270	729	21324
271	731	21313
272	734	21294
273	736	21282
274	738	21265
275	740	21249
276	743	21234
277	745	21216
278	747	21201
279	749	21186
280	752	21173
281	754	21160
282	756	21147
283	759	21144
284	763	21189
285	766	21179
286	769	21195
287	772	21192
288	776	21232
289	778	21221
290	781	21223
291	783	21208
292	787	21224
293	789	21207
294	791	21199
295	794	21187
296	796	21171
297	798	21158
298	801	21165
299	804	21161
300	807	21174
301	809	21159
302	812	21144
303	814	21131
304	816	21115
305	818	21103
306	821	21087
307	823	21075
308	825	21063
309	828	21055
310	830	21042
311	832	21033
312	835	21022
313	837	21012
314	839	20999
315	842	20997
316	846	21034
317	849	21024
318	853	21054
319	855	21040
320	858	21050
321	860	21037
322	863	21027
323	865	21016
324	867	21001
325	869	20990
326	872	20976
327	874	20966
328	876	20951
329	878	20939
330	883	20987
331	886	20987
332	891	21034
333	893	21021
334	897	21047
335	899	21033
336	902	21039
337	905	21032
338	907	21018
339	909	21008
340	911	20997
341	914	20984
342	916	20970
343	918	20957
344	920	20943
345	923	20935
346	927	20963
347	930	20964
348	934	20995
349	936	20984
350	940	21002
351	942	20989
352	945	21001
353	947	20988
354	950	20994
355	953	20981
356	955	20969
357	957	20961
358	960	20951
359	962	20942
360	964	20930
361	968	20951
362	972	20982
363	975	20981
364	978	20985
365	981	20976
366	983	20974
367	985	20962
368	989	20968
369	991	20956
370	993	20950
371	996	20940
372	998	20928
373	1000	20916
374	1002	20906
375	1005	20892
376	1007	20890
377	1014	20962
378	1016	20953
379	1018	20941
380	1020	20931
381	1023	20927
382	1026	20921
383	1028	20912
384	1030	20899
385	1033	20890
386	1035	20880
387	1037	20872
388	1040	20866
389	1042	20857
390	1044	20843
391	1047	20840
392	1052	20879
393	1054	20872
394	1057	20864
395	1059	20852
396	1061	20842
397	1063	20831
398	1066	20823
399	1068	20813
400	1070	20806
401	1073	20794
402	1075	20784
403	1077	20775
404	1080	20767
405	1082	20759
406	1085	20758
407	1088	20772
408	1091	20763
409	1093	20756
410	1096	20766
411	1099	20754
412	1102	20763
413	1104	20751
414	1108	20766
415	1110	20757
416	1113	20769
417	1116	20759
418	1118	20753
419	1120	20741
420	1124	20758
421	1127	20754
422	1129	20743
423	1131	20737
424	1134	20727
425	1136	20721
426	1138	20712
427	1141	20712
